,date,tweet,likeCount,Bank,User,Subjectivity,Polarity,Analysis,cleaned_words
0,2023-05-29 23:59:42+00:00,happymothersdaymuhsina yusuf  access bank,2,Access Bank,MssMuhsina,0.0,0.0,Neutral,happymothersdaymuhsina yusuf access bank
3,2023-05-29 23:57:37+00:00,meaccess bank,0,Access Bank,Kantiokfaith1,0.0,0.0,Neutral,meaccess bank
11,2023-05-29 23:53:19+00:00,please am a student and i need financial backing please someone so kind should do me a favour access bank,0,Access Bank,Tordue23,0.45,0.3,Positive,please student need financial backing please someone kind favour access bank
17,2023-05-29 23:44:55+00:00,access bank rewards more nysc corp members to promote entrepreneurship amongst youths,1,Access Bank,thesunnigeria,0.5,0.5,Positive,access bank rewards nysc corp members promote entrepreneurship amongst youths
18,2023-05-29 23:44:36+00:00,donewith notification onaccess bank plc,0,Access Bank,Uc_Urch,0.0,0.0,Neutral,donewith notification onaccess bank plc
24,2023-05-29 23:42:17+00:00,access bank god bless you it will really go a long way if am selected,0,Access Bank,amaciouslala,0.4,-0.05,Negative,access bank god bless really long way selected
27,2023-05-29 23:39:28+00:00,i dont know if you have increased tariff i used to get about units on recharge of  with my access bank app but my recharge of same amount same bank app on friday gave me units please can you tell me what happened,0,Access Bank,baronnice1,0.125,0.0,Neutral,increased tariff used get units recharge access bank app recharge amount bank app friday gave units please tell happened
31,2023-05-29 23:36:01+00:00,abeg credit me make i fit see front waka well tomorrow  okeke francis onyebuchi access bank,0,Access Bank,FrancisOnyebu16,0.4,0.4,Positive,abeg credit fit front waka well tomorrow okeke francis onyebuchi access bank
33,2023-05-29 23:27:28+00:00,access bank mbika chibuzor,0,Access Bank,ChefBuzor,0.0,0.0,Neutral,access bank mbika chibuzor
34,2023-05-29 23:24:30+00:00,done  access bank,0,Access Bank,amaciouslala,0.0,0.0,Neutral,done access bank
40,2023-05-29 23:18:12+00:00,gfa hold contract extension talks with access bank over division one league sponsorshipread,51,Access Bank,Kickgh,0.0,0.0,Neutral,gfa hold contract extension talks access bank division league sponsorshipread
42,2023-05-29 23:13:19+00:00,please i need to get foodstuffsaccess bank,1,Access Bank,Humbleogar,0.0,0.0,Neutral,please need get foodstuffsaccess bank
43,2023-05-29 23:11:34+00:00,access bankokah clarenceanything i will appreciate,1,Access Bank,ClarenceOkah,0.0,0.0,Neutral,access bankokah clarenceanything appreciate
45,2023-05-29 23:06:55+00:00,abegg bro omo do at all at oo person dey hungry access bank,0,Access Bank,emmafrancisco20,0.0,0.0,Neutral,abegg bro omo oo person dey hungry access bank
46,2023-05-29 23:04:36+00:00,learn how to write your books market them amp make moneydate   julyregistration  for early registration which closes june payment to be made toomoloye oluwaseun taccess bank sendproof of payment on whatsapp to,4,Access Bank,cylarsomoloye,0.3,0.1,Positive,learn write books market moneydate julyregistration early registration closes june payment made toomoloye oluwaseun taccess bank sendproof payment whatsapp
48,2023-05-29 23:01:43+00:00,odutola segun access bank pls  boss i want to make payment for school fees,0,Access Bank,segun470413391,0.0,0.0,Neutral,odutola segun access bank pls boss want payment school fees
